Title,Place Name,Latitude,Longitude,Location,Dusun,Kecamatan,Kota/Kabupaten,Province,Provinsi,Phone Number,URL,Commodity,Bulan Panen,Panen Months 
BUKIT CELEBES COFFE,BUKIT CELEBES COFFE,-5.3596375,119.8673594,"JVR8+4WX, Bontoloe, Bontolempangan, Gowa Regency, South Sulawesi 92176, Indonesia",Bontoloe,Bontolempangan,Kabupaten Gowa,South Sulawesi,Sulawesi Selatan,,"https://www.google.com/maps/place/BUKIT+CELEBES+COFFE/@-4.8485743,113.7638653,6z/data=!4m7!3m6!1s0x2dbeb961fb385177:0xdd1bfcd6ae2b33ba!8m2!3d-5.3596281!4d119.8673683!15sChJrb3BpIGZhcm0gc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11h3l3hscf?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kopi,"December, January, February, June, July","[12,1,2,6,7]"
Kebun Kopi P. Junaidi,Kebun Kopi P. Junaidi,-3.1203999,118.9127763,"VWHC+G7P, Kolehalang, Kec. Ulumanda, Kabupaten Majene, Sulawesi Barat, Indonesia",Kolehalang,Ulumanda,Kabupaten Majene,West Sulawesi,Sulawesi Barat,,"https://www.google.com/maps/place/Kebun+Kopi+P.+Junaidi/@-3.121161,109.6921798,6z/data=!4m7!3m6!1s0x2d93450504199f79:0x9f3672605d9f75a2!8m2!3d-3.121161!4d118.9206954!15sChNrZWJ1biBrb3BpIHN1bGF3ZXNpWhUiE2tlYnVuIGtvcGkgc3VsYXdlc2mSAQRmYXJtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVI0ZG5KcGNtWkJFQUXgAQA!16s%2Fg%2F11s7rl0bst?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kopi,"December, January, February, June, July","[12,1,2,6,7]"
Unit Pengolahan Hasil Kopi Arabika Latimojong,Unit Pengolahan Hasil Kopi Arabika Latimojong,-3.4190625,119.9882656,"HXJQ+98C, Latimojong, Buntu Batu, Enrekang Regency, South Sulawesi, Indonesia",,Buntu Batu,Kabupaten Enrekang,South Sulawesi,Sulawesi Selatan,,"https://www.google.com/maps/place/Unit+Pengolahan+Hasil+Kopi+Arabika+Latimojong/@-4.8485743,113.7638653,6z/data=!4m7!3m6!1s0x2d941b0035d05c95:0x5da004fd7592883!8m2!3d-3.4190683!4d119.9882767!15sChJrb3BpIGZhcm0gc3VsYXdlc2mSAQRmYXJt4AEA!16s%2Fg%2F11w9kstm9g?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kopi,"December, January, February, June, July","[12,1,2,6,7]"
Ghitari Coffee Plantation,Ghitari Coffee Plantation,-3.1072625,119.9184531,"VWV9+39W, Sangala Sel, Kaero, Kec. Sangalla, Kabupaten Tana Toraja, Sulawesi Selatan 91881, Indonesia",Kaero,Sangalla,Kabupaten Tana Toraja,South Sulawesi,Sulawesi Selatan,+62 821-9736-6597,"https://www.google.com/maps/place/Ghitari+Coffee+Plantation/@-4.8485743,113.7638653,6z/data=!4m7!3m6!1s0x2d93f1d707edf15f:0x9230e5127446e1a7!8m2!3d-3.1072519!4d119.9184684!15sChJrb3BpIGZhcm0gc3VsYXdlc2laFCISa29waSBmYXJtIHN1bGF3ZXNpkgEKZHVkZV9yYW5jaJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOUGFVNTJNVU5CRUFF4AEA!16s%2Fg%2F11dx9h3zzc?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kopi,"December, January, February, June, July","[12,1,2,6,7]"
Mahitala Coffee Plantation,Mahitala Coffee Plantation,-2.7700538,119.8525909,"Sapan, Buntu Pepasan, North Toraja Regency, South Sulawesi 91847, Indonesia",Sapan,Buntu Pepasan,Kabupaten Toraja Utara,South Sulawesi,Sulawesi Selatan,+62 851-7988-0689,"https://www.google.com/maps/place/Mahitala+Coffee+Plantation/@-4.8073781,113.7625959,6z/data=!4m7!3m6!1s0x2d93c903f31ac5cb:0xc2c72f6c29dcbef!8m2!3d-2.8230749!4d119.8449843!15sChpwbGFudGF0aW9uIGNvZmZlZSBzdWxhd2VzaZIBBGZhcm3gAQA!16s%2Fg%2F11y5qb8qn7?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kopi,"December, January, February, June, July","[12,1,2,6,7]"
Mobalang Coffee Plantation,Mobalang Coffee Plantation,0.6497375,124.3451719,"J8XW+V3V, Bongkudai, Modayag Barat, East Bolaang Mongondow Regency, North Sulawesi, Indonesia",Bongkudai,Modayag Barat,Kabupaten Bolaang Mongondow Timur,North Sulawesi,Sulawesi Utara,,"https://www.google.com/maps/place/Mobalang+Coffee+Plantation/@-4.8073781,113.7625959,6z/data=!4m7!3m6!1s0x327e25f1b89b0a0f:0x3d14795fee101bb0!8m2!3d0.6497257!4d124.3451684!15sChpwbGFudGF0aW9uIGNvZmZlZSBzdWxhd2VzaVocIhpwbGFudGF0aW9uIGNvZmZlZSBzdWxhd2VzaZIBC2NvZmZlZV9zaG9w4AEA!16s%2Fg%2F11j0ydn7c0?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kopi,"December, January, February, June, July","[12,1,2,6,7]"
Pabrik Kelapa Sawit PTPN 14 Burau,Pabrik Kelapa Sawit PTPN 14 Burau,-2.6167375,120.6536406,"9MM3+8F2, Unnamed Road, Lagego, Kec. Burau, Kabupaten Luwu Timur, Sulawesi Selatan 92975, Indonesia",Lagego,Burau,Kabupaten Luwu Timur,South Sulawesi,Sulawesi Selatan,+62 853-4253-1112,"https://www.google.com/maps/place/Pabrik+Kelapa+Sawit+PTPN+14+Burau/@-2.6167475,119.5000696,9z/data=!4m7!3m6!1s0x2d91a6f20d0a3303:0xdd9201e7746d2234!8m2!3d-2.6167475!4d120.6536341!15sChVrZWxhcGEgc2F3aXQgc3VsYXdlc2laFyIVa2VsYXBhIHNhd2l0IHN1bGF3ZXNpkgEQY29ycG9yYXRlX29mZmljZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOTU9HRmxiblJSUlJBQuABAA!16s%2Fg%2F11cs38km55?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kelapa sawit,"March, April, May, June, September, October, November, December","[3,4,5,6,9,10,11,12]"
Pabrik Minyak Kelapa Sawit Toili,Pabrik Minyak Kelapa Sawit Toili,-1.3593625,122.3074844,"J8R4+7X5, Toili, Moilong, Banggai Regency, Central Sulawesi 94762, Indonesia",,Moilong,Kabupaten Banggai,Central Sulawesi,Sulawesi Tengah,,"https://www.google.com/maps/place/Pabrik+Minyak+Kelapa+Sawit+Toili/@-1.3593595,121.1539109,9z/data=!4m7!3m6!1s0x2d85b38b75d627d7:0xd66c53221e506b2a!8m2!3d-1.3593595!4d122.3074754!15sChtrZWJ1biBrZWxhcGEgc2F3aXQgc3VsYXdlc2laHSIba2VidW4ga2VsYXBhIHNhd2l0IHN1bGF3ZXNpkgEQYm90YW5pY2FsX2dhcmRlbpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSb1gzWmZkV2RCUlJBQuABAA!16s%2Fg%2F11h1hsl_xk?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kelapa sawit,"March, April, May, June, September, October, November, December","[3,4,5,6,9,10,11,12]"
Pabrik kelapa Sawit PT.MANAKARRA UNGGUL LESTARI,Pabrik kelapa Sawit PT.MANAKARRA UNGGUL LESTARI,-2.1998625,119.4311406,"RC2J+3F2, Bar., Tommo, Kabupaten Mamuju, Sulawesi, Leling Bar., Kec. Tommo, Kabupaten Mamuju, Sulawesi Barat 91563, Indonesia",Leling Bar.,Tommo,Kabupaten Mamuju,West Sulawesi,Sulawesi Barat,+62 21 6332058,"https://www.google.com/maps/place/Pabrik+kelapa+Sawit+PT.MANAKARRA+UNGGUL+LESTARI/@-2.1998517,118.2775861,9z/data=!4m7!3m6!1s0x2d927e10c7cc0067:0x21bc382123ce4639!8m2!3d-2.1998517!4d119.4311506!15sChVrZWxhcGEgc2F3aXQgc3VsYXdlc2laFyIVa2VsYXBhIHNhd2l0IHN1bGF3ZXNpkgEMbWFudWZhY3R1cmVymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5vZVhCdVExUm5FQUXgAQA!16s%2Fg%2F11c5fyvstl?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kelapa sawit,"March, April, May, June, September, October, November, December","[3,4,5,6,9,10,11,12]"
Perkebunan Kelapa Sawit,Perkebunan Kelapa Sawit,-1.4518625,119.4226406,"GCXF+732, Unnamed Road, Lilimori, Kec. Bulu Taba, Kab. Pasangkayu, Sulawesi Barat 91572, Indonesia",Lilimori,Bulu Taba,Kabupaten Pasangkayu,West Sulawesi,Sulawesi Barat,,"https://www.google.com/maps/place/Perkebunan+Kelapa+Sawit/@-2.1998517,118.2775861,9z/data=!4m7!3m6!1s0x2d8c59c6b79a68d5:0x3666c42f78e22af9!8m2!3d-1.4518538!4d119.4226276!15sChVrZWxhcGEgc2F3aXQgc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11h1kk87_2?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kelapa sawit,"March, April, May, June, September, October, November, December","[3,4,5,6,9,10,11,12]"
Kelapa Sawit,Kelapa Sawit,0.1356625,120.1247969,"44PF+7W7, Malanggo, Tinombo Selatan, Parigi Moutong Regency, Central Sulawesi 94475, Indonesia",Malanggo,Tinombo Selatan,Kabupaten Parigi Moutong,Central Sulawesi,Sulawesi Tengah,,"https://www.google.com/maps/place/Kelapa+Sawit/@0.135661,118.971238,9z/data=!4m7!3m6!1s0x3275e2cfd17a220f:0x7d50f319feae8fb1!8m2!3d0.135661!4d120.1248025!15sChVrZWxhcGEgc2F3aXQgc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11hd6q7p82?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kelapa sawit,"March, April, May, June, September, October, November, December","[3,4,5,6,9,10,11,12]"
Pabrik Kelapa Sawit Ganda Makmur (PT Damai Jaya Lestari),Pabrik Kelapa Sawit Ganda Makmur (PT Damai Jaya Lestari),-3.2559875,122.1449219,"P4VV+JX3, Lamonae, Wiwirano, North Konawe Regency, South East Sulawesi 93353, Indonesia",Lamonae,Wiwirano,Kabupaten Konawe Utara,Southeast Sulawesi,Sulawesi Tenggara,,"https://www.google.com/maps/place/Pabrik+Kelapa+Sawit+Ganda+Makmur+(PT+Damai+Jaya+Lestari)/@-2.1998517,118.2775861,9z/data=!4m7!3m6!1s0x2d998f3dc0390bd1:0x2bc7d2aca17ab408!8m2!3d-3.2559847!4d122.144925!15sChVrZWxhcGEgc2F3aXQgc3VsYXdlc2laFyIVa2VsYXBhIHNhd2l0IHN1bGF3ZXNpkgEQY29ycG9yYXRlX29mZmljZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOS2VVNDNUbXgzUlJBQuABAA!16s%2Fg%2F11g6py8qzf?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kelapa sawit,"March, April, May, June, September, October, November, December","[3,4,5,6,9,10,11,12]"
PT. SURYA SAWIT SEJAHTERA,PT. SURYA SAWIT SEJAHTERA,-2.6121411,120.5706189,"Jl. Trans Sulawesi, Patila, Kec. Bone-Bone, Kabupaten Luwu Utara, Sulawesi Selatan 91966, Indonesia",,Bone-Bone,Kabupaten Luwu Utara,South Sulawesi,Sulawesi Selatan,+62 823-3834-2300,"https://www.google.com/maps/place/PT.+SURYA+SAWIT+SEJAHTERA/@-3.2559847,120.9913605,9z/data=!4m7!3m6!1s0x2d91a37305dca715:0x3e79dfe8b30fae20!8m2!3d-2.5978112!4d120.5671005!15sChVrZWxhcGEgc2F3aXQgc3VsYXdlc2laFyIVa2VsYXBhIHNhd2l0IHN1bGF3ZXNpkgEQY29ycG9yYXRlX29mZmljZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOUExVdFRhbWxSUlJBQuABAA!16s%2Fg%2F11h54frcp2?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kelapa sawit,"March, April, May, June, September, October, November, December","[3,4,5,6,9,10,11,12]"
Pabrik Kelapa Sawit PT. Sinergi Perkebunan Nusantara,Pabrik Kelapa Sawit PT. Sinergi Perkebunan Nusantara,-2.0839139,120.9991032,"Londi, Mori Atas, North Morowali Regency, Central Sulawesi 94965, Indonesia",Londi,Mori Atas,Kabupaten Morowali Utara,Central Sulawesi,Sulawesi Tengah,,"https://www.google.com/maps/place/Pabrik+Kelapa+Sawit+PT.+Sinergi+Perkebunan+Nusantara/@0.135661,118.971238,9z/data=!4m7!3m6!1s0x2d8fd1c010579b0d:0xbde11b41d8a8b939!8m2!3d-1.9899072!4d121.011355!15sChVrZWxhcGEgc2F3aXQgc3VsYXdlc2laFyIVa2VsYXBhIHNhd2l0IHN1bGF3ZXNpkgEQY29ycG9yYXRlX29mZmljZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VNMU9HOUhPVzVuUlJBQuABAA!16s%2Fg%2F11c538zdq6?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kelapa sawit,"March, April, May, June, September, October, November, December","[3,4,5,6,9,10,11,12]"
PKS PT. Awana Sawit Lestari,PKS PT. Awana Sawit Lestari,-1.6827571,119.3418086,"Sarudu, Pasangkayu, West Sulawesi 91573, Indonesia",,Sarudu,Kabupaten Pasangkayu,West Sulawesi,Sulawesi Barat,,"https://www.google.com/maps/place/PKS+PT.+Awana+Sawit+Lestari/@-1.705089,118.1557362,9z/data=!4m7!3m6!1s0x2d8d05a6d8a1c749:0xa888e1218ad288aa!8m2!3d-1.705089!4d119.3093007!15sChVrZWxhcGEgc2F3aXQgc3VsYXdlc2laFyIVa2VsYXBhIHNhd2l0IHN1bGF3ZXNpkgEMbWFudWZhY3R1cmVymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU41YW05eGFqaDNSUkFC4AEA!16s%2Fg%2F11gl1_y818?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kelapa sawit,"March, April, May, June, September, October, November, December","[3,4,5,6,9,10,11,12]"
Kebun Kelapa Sawit Papa Yandhi,Kebun Kelapa Sawit Papa Yandhi,-2.0498125,121.2773125,"X72G+3W, Sampalowo, Petasia Barat, North Morowali Regency, Central Sulawesi, Indonesia",Sampalowo,Petasia Barat,Kabupaten Morowali Utara,Central Sulawesi,Sulawesi Tengah,,"https://www.google.com/maps/place/Kebun+Kelapa+Sawit+Papa+Yandhi/@-1.4409209,118.3217987,9z/data=!4m7!3m6!1s0x2d8fe10047081a71:0x8f8cc763308ca5dd!8m2!3d-2.0498535!4d121.277348!15sChtrZWJ1biBrZWxhcGEgc2F3aXQgc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11vzsl0ym8?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kelapa sawit,"March, April, May, June, September, October, November, December","[3,4,5,6,9,10,11,12]"
Kebun kelapa Sawit Kadek widiyana,Kebun kelapa Sawit Kadek widiyana,-1.4214085,119.4585565,"Kasta Buana, Bulu Taba, Pasangkayu, West Sulawesi 91572, Indonesia",Kasta Buana,Bulu Taba,Kabupaten Pasangkayu,West Sulawesi,Sulawesi Barat,,"https://www.google.com/maps/place/Kebun+kelapa+Sawit+Kadek+widiyana/@-1.3122413,121.2027815,9z/data=!4m7!3m6!1s0x2d8c59c2b82bb17f:0xa03df16112f6d940!8m2!3d-1.4409209!4d119.4753632!15sChtrZWJ1biBrZWxhcGEgc2F3aXQgc3VsYXdlc2mSAQdvcmNoYXJk4AEA!16s%2Fg%2F11wmsdmqh9?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kelapa sawit,"March, April, May, June, September, October, November, December","[3,4,5,6,9,10,11,12]"
Kebun Kelapa Sawit Fadil,Kebun Kelapa Sawit Fadil,-0.8509125,119.6325781,"4JXM+J2P, Lalombi, Banawa Selatan, Donggala Regency, Central Sulawesi 94351, Indonesia",Lalombi,Banawa Selatan,Kabupaten Donggala,Central Sulawesi,Sulawesi Tengah,,"https://www.google.com/maps/place/Kebun+Kelapa+Sawit+Fadil/@-1.2159569,118.2903481,9z/data=!4m7!3m6!1s0x2d8b97c6be2beadd:0x66cfbc8574f19579!8m2!3d-0.8509164!4d119.6325634!15sChtrZWJ1biBrZWxhcGEgc2F3aXQgc3VsYXdlc2mSAQZnYXJkZW7gAQA!16s%2Fg%2F11st92g0c2?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kelapa sawit,"March, April, May, June, September, October, November, December","[3,4,5,6,9,10,11,12]"
Jual bibit kelapa sawit & cacao,Jual bibit kelapa sawit %26 cacao,-2.520493,120.7637298,"Sumber Alam, Tomoni, East Luwu Regency, South Sulawesi 92972, Indonesia",Sumber Alam,Tomoni,Kabupaten Luwu Timur,South Sulawesi,Sulawesi Selatan,+62 852-8151-6432,"https://www.google.com/maps/place/Jual+bibit+kelapa+sawit+%26+cacao/@-2.5141395,119.6226604,9z/data=!4m7!3m6!1s0x2d91b180d1415d61:0x2b487b9ec67b168b!8m2!3d-2.5141395!4d120.7762249!15sChtrZWJ1biBrZWxhcGEgc2F3aXQgc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11l1yx5xbw?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kelapa sawit,"March, April, May, June, September, October, November, December","[3,4,5,6,9,10,11,12]"
Kebun cengkeh pak saleh,Kebun cengkeh pak saleh,-5.4589625,120.1326406,"G4RM+C36, Unnamed Road, Mattirowalie, Kec. Kindang, Kabupaten Bulukumba, Sulawesi Selatan 92517, Indonesia",Mattirowalie,Kindang,Kabupaten Bulukumba,South Sulawesi,Sulawesi Selatan,,"https://www.google.com/maps/place/Kebun+cengkeh+pak+saleh/@-3.0681989,109.6896378,6z/data=!4m7!3m6!1s0x2dbea9e366d55485:0xadaf4603591bca17!8m2!3d-5.4589716!4d120.1326358!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11h7v00gx4?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
